record_name,measured_gwl,caution_flag,latitude,longitude,nztm_y,nztm_x,model_gwl,measured_minus_model,type,type_as_number
CPT_29,1.2,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.509731495,172.710119745,5182537.0482572,1576568.584522756,2.2281494140625,-1.0281494140625,cpt,1
CPT_30,0.8,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.509829404,172.712120426,5182526.736015424,1576730.3399785843,2.2281494140625,-1.4281494140625,cpt,1
CPT_31,1.2,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.507377502,172.709961897,5182798.434230442,1576554.914334059,1.842773675918579,-0.6427736759185791,cpt,1
CPT_32,1.9,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.507463433,172.712462144,5182789.592194696,1576757.0536197408,1.6972975730895996,0.2027024269104003,cpt,1
CPT_33,1.1,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.505784783,172.70873365,5182974.972069592,1576455.010502585,1.821663856506348,-0.721663856506348,cpt,1
CPT_34,1.6,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.506936127,172.713093314,5182848.329962192,1576807.871997496,1.6972975730895996,-0.0972975730895995,cpt,1
CPT_35,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.506247206,172.683018601,5182916.020158293,1574376.4871603777,0.334998607635498,1.165001392364502,cpt,1
CPT_36,1.8,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.506505277,172.685814051,5182888.216113392,1574602.568517406,0.4036159515380859,1.396384048461914,cpt,1
CPT_37,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.504468281,172.683307065,5183113.673208353,1574399.0536855713,0.2211999893188476,1.7788000106811523,cpt,1
CPT_38,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.502830907,172.683912191,5183295.7029852765,1574447.2805181514,0.1225256919860839,1.377474308013916,cpt,1
CPT_39,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.502193585,172.684428112,5183366.641072805,1574488.7195275538,0.1225256919860839,1.377474308013916,cpt,1
CPT_40,1.3,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.507911032,172.683306403,5182731.327085499,1574400.4550907991,0.4530296325683594,0.8469703674316407,cpt,1
CPT_41,1.7,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.508475313,172.686945415,5182669.771938845,1574694.8461310472,0.555478572845459,1.144521427154541,cpt,1
CPT_42,1.7,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503203721,172.686266313,5183255.018986527,1574637.7452628775,0.120917797088623,1.579082202911377,cpt,1
CPT_43,1.7,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.501147535,172.685140956,5183483.031714381,1574545.907415132,0.120917797088623,1.579082202911377,cpt,1
CPT_44,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.500723916,172.687533613,5183530.80699096,1574739.160039039,0.0,1.5,cpt,1
CPT_45,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503011051,172.694855294,5183278.998015301,1575332.00104045,0.378220796585083,1.621779203414917,cpt,1
CPT_46,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.502739008,172.70375581,5183311.810095815,1576051.4145136203,1.2005584239959717,0.7994415760040283,cpt,1
CPT_47,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.501759101,172.704036681,5183420.717549671,1576073.733354142,1.2005584239959717,0.7994415760040283,cpt,1
CPT_48,2.1,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.505686868,172.683069247,5182978.265908252,1574380.344205979,0.334998607635498,1.765001392364502,cpt,1
CPT_49,2.1,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.505019066,172.683186854,5183052.4670188045,1574389.5688623276,0.2211999893188476,1.8788000106811524,cpt,1
CPT_50,2.1,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503804143,172.68348091,5183187.484649279,1574412.8265408247,0.2211999893188476,1.8788000106811524,cpt,1
CPT_51,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.50239876,172.684101144,5183343.75444018,1574462.3734386088,0.1225256919860839,1.877474308013916,cpt,1
CPT_52,2.2,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.501485812,172.684625572,5183445.305551326,1574504.3846459682,0.120917797088623,2.079082202911377,cpt,1
CPT_53,1.6,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.50073687,172.686077108,5183528.925275375,1574621.4166090202,0.0,1.6,cpt,1
CPT_54,1.9,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.500797783,172.688013171,5183522.748889297,1574777.9599005578,0.0,1.9,cpt,1
CPT_55,5.7,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.501226471,172.689003351,5183475.439167222,1574858.187236176,0.1579980850219726,5.542001914978028,cpt,1
CPT_56,2.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.501854307,172.690386256,5183406.129654285,1574970.244458896,0.1579980850219726,2.0420019149780275,cpt,1
CPT_57,1.9,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.502222051,172.691266755,5183365.553087699,1575041.5771781502,0.2251029014587402,1.6748970985412597,cpt,1
CPT_58,1.3,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.502304911,172.694473993,5183357.307557293,1575300.8886503452,0.378220796585083,0.921779203414917,cpt,1
CPT_59,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.502143378,172.695160515,5183375.450614783,1575356.322286758,0.378220796585083,1.121779203414917,cpt,1
CPT_60,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.501866319,172.696443563,5183406.599371222,1575459.9336290776,0.378220796585083,1.621779203414917,cpt,1
CPT_61,2.9,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.501359629,172.698862592,5183463.581810554,1575655.288932289,0.6792588233947754,2.2207411766052245,cpt,1
CPT_62,1.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.502191341,172.687647638,5183367.872068848,1574748.989795651,0.120917797088623,1.079082202911377,cpt,1
CPT_63,2.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.502629443,172.689381748,5183319.741896875,1574889.3593736654,0.1579980850219726,2.0420019149780275,cpt,1
CPT_64,2.6,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.502946373,172.690618577,5183284.916632625,1574989.4765575903,0.1579980850219726,2.4420019149780274,cpt,1
CPT_65,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503154252,172.691528787,5183262.103080409,1575063.1439172097,0.2251029014587402,1.7748970985412598,cpt,1
CPT_66,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503262109,172.694221804,5183250.928018362,1575280.8919084223,0.378220796585083,1.621779203414917,cpt,1
CPT_67,2.4,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.502624046,172.696702719,5183322.523973137,1575481.1909425133,0.378220796585083,2.021779203414917,cpt,1
CPT_68,1.5,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.50315451,172.688781994,5183261.247787834,1574841.092775755,0.1579980850219726,1.3420019149780271,cpt,1
CPT_69,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503821586,172.687522183,5183186.781939917,1574739.527565654,0.2570700645446777,1.7429299354553225,cpt,1
CPT_70,3.1,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.504723106,172.689450785,5183087.244272781,1574895.807968805,0.321685791015625,2.778314208984375,cpt,1
CPT_71,2.8,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503856581,172.690290182,5183183.731839099,1574963.3051100047,0.321685791015625,2.478314208984375,cpt,1
CPT_72,2.5,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.504650114,172.690654567,5183095.713030452,1574993.089275733,0.321685791015625,2.178314208984375,cpt,1
CPT_73,2.1,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.505578286,172.691263071,5182992.814544418,1575042.6620219862,0.5641040802001953,1.5358959197998048,cpt,1
